name,brand,sku,category,revenue,momentum,claims,ingredients
Sport,GNC Mega Men,DSLD-778,Energy & Performance,307804,3.5,2X MORE D-3 CLINICALLY STUDIED CLINICALLY STUDIED MULTIVITAMIN FPO Sport Timed-Release With 1600 IU of vitamin D-3 for colon health and immune support  Fuels muscles and supports recovery with amino acids  Energy and metabolism support,Vitamin A; Vitamin C; Vitamin D; Vitamin E; Vitamin K; Thiamine; Riboflavin; Niacin; Vitamin B6; Folic Acid; Vitamin B12; Biotin; Pantothenic Acid; Calcium; Iodine; Magnesium; Zinc; Selenium; Copper; Manganese; Chromium; Molybdenum; Chloride; Potassium; Branched Chain Amino Acid Blend; Creatine Precursor Blend; Sports Blend; Joint Cushion Support Blend; Alpha-Lipoic Acid; Choline; Inositol; Silica; Boron; Lutemax 2020 Lutein; Lycopene; Zeaxanthin; Astaxanthin; Vanadium
50 Plus,GNC Mega Men,DSLD-779,Cognitive Support,3628311,8.5,2X MORE D-3 ACTUAL SIZE CLINICALLY STUDIED CLINICALLY STUDIED MULTIVITAMIN Compared to leading brands. Frank J. Costa M.D. an acclaimed urological surgeon and men's health expert is part of the GNC Medical Advisory Board.  One of 'America's Top Physicians' Dr. Costa lectures nationally and internationally on men's health topics.  Dr. Costa is regularly featured in television radio and newspaper interviews and has published articles in both professional journals and popular magazines.  'As you get older your nutritional needs change.  I recommend Mega Men(R) 50 Plus because it provides the proper balance of vitamins and minerals plus nutrients to support prostate and eye health and memory.' GNC GUARANTEE  Use any GNC supplement for as little as 10 days.  If you are not 100% completely satisfied return the unused portion of the product with proof of purchase to your GNC store for a complete refund of your purchase price.  No questions asked! GNC QUALITY COMMITMENT  GNC the leader in the development and manufacture of dietary supplements is committed to producing the highest quality products available.  This commitment begins with quality designed supplement formulations.  Every raw material that goes into a GNC supplement is guaranteed as to quality and potency.  Each product is dated and then shipped immediately to our stores so you can be sure you are purchasing the freshest supplements available.  At GNC we extend our quality commitment to you by offering our money-back guarantee. MEGA MEN(R) 50 PLUS    The keys to healthy aging include the appropriate nutritional support.  This premium multivitamin includes antioxidants vitamins and minerals that are essential to addressing the factors of aging.   Memory Health Blend   Features choline which serves as a precursor of acetylcholine one of the neurotransmitters responsible for memory function and phosphatidylserine to help promote a healthy nervouse system and support memory function.  Premium Prostate Blend  Combines saw palmetto with powerful antioxidants selenium and lycopene to help support optimal prostate health and healthy urinary flow.   Healthy Aging   Includes 1600 IU of vitamin D-3.  Emerging research suggests that adequate daily vitamin D intake may play a role in supporting colon and immune health.   Features lutein and zeaxanthin to support eye health and an advanced free radical protection blend with resveratrol alpha-lipoic acid and green tea.  These ingredients offer protection from excess free readicals that can destroy healthy cells and promote the cell-aging process.  Supplies L-arginine an amino acid shown to help maintain blood vessel tone and play a role in sexual health.   Timed-release caplets provide a slow gradual release of vital nutrients. Timed-Release With 1600 IU of vitamin D-3  Supports memory function   Premium prostate formula with saw palmetto lycopene and selenium   Fights cell aging with advanced antioxidant blend,Vitamin A; Vitamin C; Vitamin D; Vitamin E; Vitamin K; Thiamine; Riboflavin; Niacin; Vitamin B6; Folic Acid; Vitamin B12; Biotin; Pantothenic Acid; Calcium; Iodine; Magnesium; Zinc; Selenium; Copper; Manganese; Chromium; Molybdenum; Saw Palmetto Berries Extract; L-Arginine; Healthy Aging Free Radical Protection Blend; Memory Health Blend; Inositol; Silica; Boron; Lutemax 2020 Lutein; Lycopene; Zeaxanthin; Astaxanthin; Vanadium
Heart,GNC Mega Men,DSLD-780,Beauty From Within,2960996,1.2,2X MORE D-3 ACTUAL SIZE CLINICALLY STUDIED CLINICALLY STUDIED MULTIVITAMIN Compared to leading brands. Frank J. Costa M.D. an acclaimed urological surgeon and men's health expert is part of the GNC Medical Advisory Board.  One of 'America's Top Physicians' Dr. Costa lectures nationally and internationally on men's health topics.  Dr. Costa is regularly featured in television radio and newspaper interviews and has published articles in both professional journals and popular magazines.  'Heart health is a big concern for many men and protecting your heart is one of the best things you can do to live well I recommend Mega Men(R) Heart because it provides a full range of vitamins and minerals plus phytosterols to help lower cholesterol. GNC GUARANTEE  Use any GNC supplement for as little as 10 days.  If you are not 100% completely satisfied return the unused portion of the product with proof of purchase to your GNC store for a complete refund of your purchase price.  No questions asked! GNC QUALITY COMMITMENT  GNC the leader in the development and manufacture of dietary supplements is committed to producing the highest quality products available.  This commitment begins with quality designed supplement formulations.  Every raw material that goes into a GNC supplement is guaranteed as to quality and potency.  Each product is dated and then shipped immediately to our stores so you can be sure you are purchasing the freshest supplements available.  At GNC we extend our quality commitment to you by offering our money-back guarantee. Heart MEGA MEN(R) HEART   Heart Health   Features phytosterols that lower LDL (bad) cholesterol.  These natural compounds found in fruits vegetables and whole grain products work by blocking cholestrol absorption.  Scientific research shows that a minimum of 400 mg per serving of free phytosterols taken twice a day with meals for a daily total of at least 800 mg as part of a diet low in saturated fat and cholesterol may reduce the risk of heart disease.  Each serving of Mega Men(R) Heart supplies 800 mg of phytosterols.   Supplies Heart ProtectionBlend with L-arginine L-carnitine policosanol and CoQ-10 to support a healthy heart and maintain blood vessel tone.   Includes B-vitamins that play a vital role in the maintainance of normal homocysteine levels.  Homocysteine levels are a recognized marker for cardiovascular health.  Contains calcium and folic acid which may help maintain healthy blood pressure already within normal range.  Also supplies lycopene to support cardiovascular health.   Advanced Nutritional Support   Combines a B-vitamin complex that is essential for carbohydrate metabolism and energy production with key minerals such as copper which is involved in the production of cellular energy and chromium that plays an important role in normal glucose utilization.   Includes 1600 IU of vitamin D-3.  Emerging research suggests that adequate daily vitamin D intake may help play a role in supporting colon and immune health.  Timed-release caplets provide a gradual release of vital nutrients. Timed-Release With 1600 IU of vitamin D-3   Lowers LDL (bad) cholesterol with phytosterols   Promotes healthy blood pressure levels  Supports normal healthy blood vessel function,Vitamin A; Vitamin C; Vitamin D; Vitamin E; Vitamin K; Thiamine; Riboflavin; Niacin; Vitamin B6; Folic Acid; Vitamin B12; Biotin; Pantothenic Acid; Calcium; Iodine; Magnesium; Zinc; Selenium; Copper; Manganese; Chromium; Molybdenum; Phytosterols; Heart Protection Blend; Alpha-Lipoic Acid; Choline; Inositol; Silica; Boron; Lutemax 2020 Lutein; Lycopene; Zeaxanthin; Astaxanthin; Vanadium
Energy & Metabolism,GNC Mega Men,DSLD-781,Energy & Performance,2552317,4.7,2X MORE D-3 ACTUAL SIZE CLINICALLY STUDIED CLINICALLY STUDIED MULTIVITAMIN Compared to leading brands. Energy Frank J. Costa M.D. an acclaimed urological surgeon and men's health expert is part of the GNC Medical Advisory Board.  One of 'America's Top Physicians' Dr. Costa lectures nationally and internationally on men's health topics. Dr. Costa is regularly featured in television radio and newspaper interviews and has published articles in both professional journals and popular magazines.  'Lack of energy and slow metabolisms are common concerns of many of my patients.  When a regular multivitamin isn't enough I suggest Mega Men(R) Energy & Metabolism for the extra boost to help them through their busy schedules.' GNC GUARANTEE  Use any GNC supplement for as little as 10 days.  If you are not 100% completely satisfied return the unused portion of the product with proof of purchase to your GNC store for a complete refund of your purchase price.  No questions asked! GNC QUALITY COMMITMENT  GNC the leader in the development and manufacture of dietary supplements is committed to producing the highest quality products available.  This commitment begins with quality designed supplement formulations.  Every raw material that goes into a GNC supplement is guaranteed as to quality and potency.  Each product is dated and then shipped immediately to our stores so you can be sure you are purchasing the freshest supplements available.  At GNC we extend our quality commitment to you by offering our money-back guarantee. MEGA MEN(R) ENERGY & METABOLISM   Taking a daily multivitamin keeps you on the right track for filling your nutritional gaps.  Mega Men(R) Energy & Metabolism is an enhanced multivitamin that provides the same clinically studied base as our Mega Men(R) formula with ingredients that help boost your energy!   Advanced Nutritional Support   Includes 1600 IU of vitamin D-3.  Emerging research suggests that adequate daily vitamin D intake may play a role in supporting colon and immune health.   Supplies B-vitamins that are essential for energy production and metabolism.  Calorie Burning Support   Features an energy and metabolism blend that helps boost energy and metabolism and supports calorie burning.  The components in this blend also help support mental focus.   Antioxidant Protection  Contains a premium blend of antioxidants including selenium vitamin C and vitamin E to aid in supporting the body's immunity.   Combines lutein and zeaxanthin to support eye health with lycopene an antioxidant from tomatoes to support cardiovascular health.   Timed-release caplets provide a gradual release of vital nutrients. Timed-Release With 1600 IU of vitamin D-3 for colon health and immune support   Boosts energy and metabolism   Supports mental focus  Calorie burning support,Vitamin A; Vitamin C; Vitamin D; Vitamin E; Vitamin K; Thiamine; Riboflavin; Niacin; Vitamin B6; Folic Acid; Vitamin B12; Biotin; Pantothenic Acid; Calcium; Iodine; Magnesium; Zinc; Selenium; Copper; Manganese; Chromium; Molybdenum; Energy & Metabolism Blend; Proprietary Amino Acid Blend; L-Taurine; L-Methionine; L-Glutamine; L-Carnitine; Green Tea leaf extract; Alpha-Lipoic Acid; Choline; Inositol; Silica; Boron; Lutemax 2020 Lutein; Lycopene; Zeaxanthin; Astaxanthin; Vanadium
Prostate & Virility,GNC Mega Men,DSLD-782,Beauty From Within,3083834,1.7,2X MORE D-3 ACTUAL SIZE CLINICALLY STUDIED CLINICALLY STUDIED MULTIVITAMIN CODE 177712   ILG Compared to leading brands. Frank J. Costa M.D. an acclaimed urological surgeon and men's health expert is part of the GNC Medical Advisory Board.  One of 'America's Top Physicians' Dr. Cost lectures nationally and internationally on men's health topics.  Dr. Costa is regularly featured in television radio and newspaper interviews and has published articles in both professional journals and popular magazines.  'Many men come to me with prostate and sexual health concerns.  In addition to a prostate examination I recommend saw palmetto for both prostate support and normal healthy urinary flow.  GNC Mega Men(R) Prostate & Virility is a complete multivitamin with ingredients to support prostate and sexual health.' GNC GUARANTEE  Use any GNC supplement for as little as 10 days.  If you are not 100% completely satisfied return the unused portion of the product with proof of purchase to your GNC store for a complete refund of your purchase price.  No questions asked! GNC QUALITY COMMITMENT  GNC the leader in the development and manufacture of dietary supplements is committed to producing the highest quality products available.  This commitment begins with quality designed supplement formulations.  Every raw material that goes into a GNC supplement is guaranteed as to quality and potency.  Each product is dated and then shipped immediately to our stores so you can be sure you are purchasing the freshest supplements available.  At GNC we extend our quality commitment to you by offering our money-back guarantee. MEGA MEN(R) PROSTATE & VIRILITY    Strengthening and balancing  your body's natural system is the key to optimal health.  Mega Men(R) Prostate & Virility multivitamin is specially formulated to address important aspects of men's health including prostate immune reproductive and sexual health.  Now you can take a proactive step in supporting your overall well-being.   Overall Health   Includes 1600 IU of vitamin D-3.  Emerging research suggests that adequate daily vitamin D intake may play a role in supporting colon and immune health.   Features powerful antioxidants including lutein and zeaxanthin to help you body defend against the damage of free radicals.   Prostate Health  Combines saw palmetto with the powerful antioxidants selenium and lycopene to help support optimal prostate health and normal urinary flow.    Sexual Health   Supplies L-arginine an amino acid shown to help maintain blood vessel tone and play a role in sexual health.  Includes popular herbs including maca root horny goat weed and yohimbe bark.  Timed-release caplets provide a gradual release of vital nutrients. PROSTATE Timed-Release With 1600 IU of vitamin D-3 for colon health and immune support   Prostate health support with saw palmetto pygeum and lycopene   Sexual health support with arginine and herbal blend  Fights free radicals with advanced antioxidant blend,Vitamin A; Vitamin C; Vitamin D; Vitamin E; Vitamin K; Thiamine; Riboflavin; Niacin; Vitamin B6; Folic Acid; Vitamin B12; Biotin; Pantothenic Acid; Calcium; Iodine; Magnesium; Zinc; Selenium; Copper; Manganese; Chromium; Molybdenum; Prostate Blend; Virility Blend; Alpha-Lipoic Acid; Choline; Inositol; Silica; Boron; Lutemax 2020 Lutein; Lycopene; Zeaxanthin; Astaxanthin; Vanadium
Mega Men,GNC Mega Men,DSLD-783,Beauty From Within,2482105,5.2,ACTUAL SIZE CLINICALLY STUDIED CLINICALLY STUDIED MULTIVITAMIN Compared to leading brands. Disintegrates over six hours for timed-release benefit. Easy to Swallow Frank J. Costa M.D. an acclaimed urological surgeon and men's health expert is part of the GNC Medical Advisory Board.  One of 'America's Top Physicians' Dr. Costa lectures nationally and internationally on men's health topics.  Dr. Costa is regularly featured in television radio and newspaper interviews and has published articles in both professional journals and popular magazines.  'Men need a multivitamin specifically tailored to meet their needs.  I recommend Mega Men(R) because it has been formulated with nutrients to support prostate and heart health vision energy production and more.' GNC GUARANTEE  Use any GNC supplement for as little as 10 days.  If you are not 100% completely satisfied return the unused portion of the product with proof of purchase to your GNC store for a complete refund of your purchase price.  No questions asked! GNC QUALITY COMMITMENT  GNC the leader in the development and manufacture of dietary supplements is committed to producing the highest quality products available.  This commitment begins with quality designed supplement formulations.  Every raw material that goes into a GNC supplement is guaranteed as to quality and potency.  Each product is dated and then shipped immediately to our stores so you can be sure you are purchasing the freshest supplements available.  At GNC we extend our quality commitment to you by offering our money-back guarantee. Mega Men(R) MEGA MEN(R)  A clinically studied premium multivitamin for men to supplement key nutrients missing in their daily diet.   Advanced Nutritional Support  With 1600 IU of vitamin D-3.  Emerging research suggests that adequate daily vitamin D intake may play a role in supporting colon and immune health.   Supplies essential B-vitamins that are important for cardiovascular health and production of energy.    Contains selenium vitamin E and lycopene to support normal prostate health and lutein with zeaxanthin to support eye health.   Includes important minerals like zinc for normal reproductive function copper which is involved in the production of cellular energy and chromium that plays an important role in normal glucose utilization.    Antioxidant Protection  Features a broad specturm of cellprotecting antioxidant nutrients that also aid in boosting the body's immunity.  Enhanced with 105 mg of an antioxidant superfoods fruit and vegetable blend that offers protection from harmful free radicals that can destroy healthy cells. With 1600 IU of vitamin D-3 for colon health and immune support   B-vitamins for energy support   Selenium lycopene and vitamin E to support prostate health   Fights cell aging with advanced antioxidant blend 2X MORE D-3,Vitamin A; Vitamin C; Vitamin D; Vitamin E; Vitamin K; Thiamine; Riboflavin; Niacin; Vitamin B6; Folic Acid; Vitamin B12; Biotin; Pantothenic Acid; Calcium; Iodine; Magnesium; Zinc; Selenium; Copper; Manganese; Chromium; Molybdenum; Proprietary Amino Acid Blend; L-Taurine; L-Methionine; L-Glutamine; L-Carnitine; Superfoods Fruit and Vegetable Blend; Alpha-Lipoic Acid; Green Tea leaf extract; Choline; Inositol; Silica; Boron; Lutemax 2020 Lutein; Lycopene; Zeaxanthin; Astaxanthin; Vanadium
Ultra Mega,GNC Women's Ultra Mega,DSLD-784,Beauty From Within,2019421,2.6,2X MORE D-3 ACTUAL SIZE CLINICALLY STUDIED CLINICALLY STUDIED MULTIVITAMIN Compared to leading brands. GNC GUARANTEE  Use any GNC supplement for as little as 10 days.  If you are not 100% completely satisfied return the unused portion of the product with proof of purchase to your GNC store for a complete refund of your purchase price.  No questions asked! GNC QUALITY COMMITMENT  GNC the leader in the development and manufacture of dietary supplements is committed to producing the highest quality products available.  This commitment begins with quality designed supplement formulations.  Every raw material that goes into a GNC supplement is guaranteed as to quality and potency.  Each product is dated and then shipped immediately to our stores so you can be sure you are purchasing the freshest supplements available.  At GNC we extend our quality commitment to you by offering our money-back guarantee. Timed-Release Ultra Mega(R) With 1600 IU of vitamin D-3 for breast and bone health   Hair skin and nails blend with collagen and biotin   Strengthens bones with 500 mg of calcium  Fights cell aging with advanced antioxidant blend WOMEN’S ULTRA MEGA(R)The latest scientific research suggests that all adults can benefit trom taking a multiple vitamin daily. Women's Ultra Mega(R) is a premium multivitamin to supplement key nutrients missing in your daily diet.Advanced Nutritional Support• Includes 1600 IU of vitamin D-3. Emerging researchsuggests that adequate daily vitamin D intake may play a role in supporting breast and bone health.• Supplies B-vitamins that are essential lor energyproduction and metabolism. Each daily dose supplies a50 mg B-vitamin complex including 400 mcg of folic acid that is essential tor DNA formation.• Includes 18 mg of iron a vital nutrient that plays anessential role informing healthy red blood cells andtransporting oxygen.Hair Skin & Nails Blend• Enriched with ingredients such as biotin antioxidantscollagen and hyaluronic acid that support the matrix ofhair skin and nails.Bone Health• Features important bone-strengthening nutrients including 500 mg of calcium magnesium and vitamin D-3 that are essential in the development of healthy bones and teeth.Adequate calcium and vitamin D in a healthy dietthroughout life may reduce the risk of osteoporosis.Antioxidant Protection• Contains a premium blend of antioxidants includingselenium vitamin C and vitamin E to aid in supporting the body`s immunity.• Combines cranberry which supports a healthy urinarytract with Iutein and zeaxanthin to support eye health and Iycopene an antioxidant from tomatoes to support cardiovascular health.Timed-release caplets provide a gradual release of vitalnutrients.,Vitamin A; Vitamin C; Vitamin D; Vitamin E; Vitamin K; Thiamine; Riboflavin; Niacin; Vitamin B6; Folic Acid; Vitamin B12; Biotin; Pantothenic Acid; Calcium; Iron; Iodine; Magnesium; Zinc; Selenium; Copper; Manganese; Chromium; Molybdenum; Superfoods Fruit & Vegetable Blend; Beauty Blend; Choline; Inositol; Silica; Boron; Lycopene; Lutemax 2020 Lutein; Zeaxanthin; Astaxanthin; Vanadium
Women's Ultra Mega,GNC Women's Ultra Mega,DSLD-785,Beauty From Within,4766137,8.5,2X MORE D-3 CLINICALLY STUDIED CLINICALLY STUDIED MULTIVITAMIN Lot No./Best By: OPEN HERE Timed-Release Ultra Mega(R) With 1600 IU of vitamin D-3 for breast and bone health   Hair skin and nails blend with collagen and biotin,Vitamin A; Vitamin C; Vitamin D; Vitamin E; Vitamin K; Thiamine; Riboflavin; Niacin; Vitamin B6; Folic Acid; Vitamin B12; Biotin; Pantothenic Acid; Calcium; Iron; Iodine; Magnesium; Zinc; Selenium; Copper; Manganese; Chromium; Molybdenum; Superfoods Fruit & Vegetable Blend; Beauty Blend; Choline; Inositol; Silica; Boron; Lycopene; Lutemax 2020 Lutein; Zeaxanthin; Astaxanthin; Vanadium
Women's Ultra Mega without Iron and Iodine,GNC Women's Ultra Mega,DSLD-786,Beauty From Within,1360433,4.3,2X MORE D-3 CLINICALLY STUDIED CLINICALLY STUDIED MULTIVITAMIN Lot No./Best By: See carton for related information. Timed-Release Ultra Mega(R) With 1600 IU of vitamin D-3 for breast and bone health,Vitamin A; Vitamin C; Vitamin D; Vitamin E; Vitamin K; Thiamine; Riboflavin; Niacin; Vitamin B6; Folic Acid; Vitamin B12; Biotin; Pantothenic Acid; Calcium; Magnesium; Zinc; Selenium; Copper; Manganese; Chromium; Molybdenum; Superfoods Fruit & Vegetable Blend; Beauty Blend; Choline; Inositol; Silica; Boron; Lycopene; Lutemax 2020 Lutein; Zeaxanthin; Astaxanthin; Vanadium
Women's Ultra Mega without Iron and Iodine,GNC Women's Ultra Mega,DSLD-787,Beauty From Within,2554319,8.1,2X MORE D-3 CLINICALLY STUDIED CLINICALLY STUDIED MULTIVITAMIN Lot No./Best By: See carton for related information. Timed-Release Ultra Mega(R) With 1600 IU of vitamin D-3 for breast and bone health,Vitamin A; Vitamin C; Vitamin D; Vitamin E; Vitamin K; Thiamine; Riboflavin; Niacin; Vitamin B6; Folic Acid; Vitamin B12; Biotin; Pantothenic Acid; Calcium; Magnesium; Zinc; Selenium; Copper; Manganese; Chromium; Molybdenum; Superfoods Fruit & Vegetable Blend; Beauty Blend; Choline; Inositol; Silica; Boron; Lycopene; Lutemax 2020 Lutein; Zeaxanthin; Astaxanthin; Vanadium
Active,GNC Women's Ultra Mega,DSLD-788,Energy & Performance,4161056,9.2,2X MORE D-3 Active CLINICALLY STUDIED CLINICALLY STUDIED MULTIVITAMIN FPO Lot No./Best By: OPEN HERE Timed-Release With 1600 IU of vitamin D-3 for breast and bone health,Vitamin A; Vitamin C; Vitamin D; Vitamin E; Vitamin K; Thiamine; Riboflavin; Niacin; Vitamin B6; Folic Acid; Vitamin B12; Biotin; Pantothenic Acid; Calcium; Iron; Iodine; Magnesium; Zinc; Selenium; Copper; Manganese; Chromium; Molybdenum; Chloride; Potassium; Performance; Energy & Metabolism Blend; Joint Cushion Support Blend; Alpha-Lipoic Acid; Choline; Inositol; Cranberry concentrate; Silica; Boron; Lutemax 2020 Lutein; Lycopene; Zeaxanthin; Astaxanthin; Vanadium
Beautiful Legs featuring Diosmin And Resveratrol,ResVitale,DSLD-789,Healthy Aging,2109676,4.3,600 MG DIOSMIN Features clinical strength 95% Diosminprescribed by European doctors•Maintain tone and elasticity of veins•Studies show results in 1 to 2 weeks Our French Red Wine vineyards’ pureResveratrol infused with clinical strengthDiosmin to reduce the appearance of spiderand varicose veins for legs that look youngsmooth & healthy. Printed with vegetable-based inks on 100% recyclable material. Produced under the strictest Good Manufacturing Practices (GMP) ourformulas are made in an oxygen-free nitrogen-rich environment. Each batch istested by a certified third party analytical laboratory to confirm potency. Promote and maintain youth withBeautiful Legs a nourishing complexwith clinically proven Diosmin. Widelyprescribed by European physicians Diosmin is testedand proven safe in studies on over 15000 women. Itspowerful citrus bioflavonoids work synergistically withhorse chestnut grapeseed extract and Resveratrol toboost circulation and reduce swelling visibly fadingthe appearance of unsightly veins. ResVitale    Beautiful Legs THE ART ResVitále introduces Vinologie –harnessing the restorative nature of the vineyard toprotect youthful radiance. Rich in French heritagethe vineyard possesses the purest ingredients –ResVitále’s devotion to agelessness begins here. THE BENEFITS Rediscover your youthful DNAthrough the power of the organic vineyard. Freeof additives and fillers our formula delivers apatent-pending ‘Vine-to-Capsule’ extraction ofred wine polyphenols helping you look and feelvibrant and renewed. THE PROOF A Harvard study reveals thatResveratrol may help increase longevity. Theseactive polyphenols found in red wine enhanceyouth protein production and boost gene activity. THE PUREST YOUTH ACTIVATING,Organic French Red Wine Polyphenol Extract; Diosmin; Grapeseed Extract; Horse Chestnut Extract; Butcher's Broom Extract; Hesperidin
Beauty Sleep,ResVitale,DSLD-790,Sleep & Relaxation,1503661,1.9,500 MG SLEEP COMPLEX Beauty Sleep Infused with our French Red Winevineyards’ pure Resveratrol MelatoninL-Theanine Passion Flower and Liver PMdetoxifying blend for the most restfulrelaxing and rejuvenating night’s sleep. Non-habit forming•100% drug free with no artificial flavorscolors or sweeteners added•Cleanses and purifies during peak nighttime hoursfor optimized cell renewal Printed with vegetable-based inks on 100% recyclable material. ResVitale THE ART ResVitále introduces Vinologie –harnessing the restorative nature of the vineyard toprotect youthful radiance. Rich in French heritagethe vineyard possesses the purest ingredients –ResVitále’s devotion to agelessness begins here. THE BENEFITS Rediscover your youthful DNAthrough the power of the organic vineyard. Freeof additives and fillers our formula delivers apatent-pending ‘Vine-to-Capsule’ extraction ofred wine polyphenols helping you look and feelvibrant and renewed. THE PROOF A Harvard study reveals thatResveratrol may help increase longevity. Theseactive polyphenols found in red wine enhanceyouth protein production and boost gene activity. THE PUREST YOUTH ACTIVATING,Oraganic French Red Wine Polyphenol Extract; Melatonin; L-Theanine; Passion Flower; Liver PM Blend; Milk Thistle extract; Turmeric extract; Artichoke; extract
Collagen Enhance 1000 mg,ResVitale,DSLD-791,Beauty From Within,1942353,3.4,…made with… BioCell Collagen(R) 1000 MG Helps promoteand support ayounger-lookingappearanceFirm and toneskin to help erasethe visible signsof agingBoost energyproduction in cellsfor a fresh andradiant look Our French Red Wine vineyards’ pureResveratrol infused with Collagenand Hyaluronic Acid to provide yourskin with the age-defiant nutrientsit desires. Printed with vegetable-based inkson 100% recycleable material. Produced under the strictest Good ManufacturingPractices (GMP) our formulas are made in anoxygen-free nitrogen-rich environment. Each batchis tested by a certified third party analyticallaboratory to confirm potency. ResVitale Collagen Enhance  1000 MG THE ART ResVitále introduces Vinologie –harnessing the restorative nature of the vineyard toprotect youthful radiance. Rich in French heritagethe vineyard possesses the purest Resveratrol –ResVitále’s devotion to agelessness begins here. THE BENEFITS Rediscover your youthful DNAthrough the power of Resveratrol. Free of additivesand fillers our formula delivers a patent-pending‘Vine-to-Capsule’ extraction of the red winepolyphenols – preserved at their peak potency –helping you look and feel vibrant and renewed. THE PROOF A Harvard study reveals thatResveratrol may help increase longevity. Theseactive polyphenols found in red wine enhanceyouth protein production and boost gene activity. THE PURESTYOUTH ACTIVATING Vital for smooth glowing skincollagen production diminisheswith age. You can’t stop timebut you can make it less visible.Give your skin a workout fromthe inside out with this skinsavingbeauty breakthrough.A powerful infusion of hyaluronicacid helps hydrate and plumpthe visible layer of skin whileFrench Resveratrol boostscellular energy to restoreyouthful DNA.,Organic French Red Wine Polyphenol Extract; Wild natural Japanese Knotweed Extract; BioCell Collagen II; Hydrolyzed Collagen Type II; Chondroitin Sulfate; Hyaluronic Acid
Keratin Enhance With Biotin And Resveratrol 500 MG KERATIN,ResVitale,DSLD-792,Beauty From Within,898400,8.1,Featuring natural bioavailable Keratinto strengthen rebuild and rejuvenateyour hair nails and skin. Keratin Enhance with Biotin and Resveratrolpresents the latest advancement in beautysupplements. Incorporating Cynatine(R) HNSKeratin a patented form of keratin that is easilyabsorbed by the body this formula offersoptimal nourishment and repair for youthfulhair nails and skin. Keratin Enhance with Biotinand Resveratrol helps reduce fine lines andwrinkles decreases hair loss and promoteshealthy strong nails. Satisfy your body withthis essential support for age-defying beauty. NEW NEXT GENERATIONHAIR NAILS & SKIN NUTRIENT ResVitale  Keratin Enhance THE ART ResVitále introduces the world’sfirst Solubilized Keratin – a recent breakthroughin beauty supplementation.Cynatine(R) HNS Keratin is manufactured usinga patented process that makes it bothbioactive and bioavailable. THE BENEFITS• Patented absorbable form of keratin• Reduces fine lines and wrinkles• Supports thicker fuller hair• Promotes stronger nourished nails THE PROOF Studies have shown thatCynatine(R) HNS reduced hair loss fromwashing by 30% over 90 days.,Biotin; Cynatine(R) HNS; Organic French Red Wine Polyphenol Extract; Quercetin Dihydrate
Resveratrol 125 mg,ResVitale,DSLD-793,Healthy Aging,2755214,7.5,·Helps repairage-related celldamageand restoreyouthful DNA·Boosts energyproduction in cells·Standardizedformulationdeliversa full 125 mg ofpure trans-Resveratrol Our French Red Wine vineyards delivera pure concentration of Resveratrolto trigger your natural age-defyingdefenses and Longevity Genes. Printed with vegetable-based inkson 100% recycleable material. Produced under the strictest Good ManufacturingPractices (GMP) our formulas are made in anoxygen-free nitrogen-rich environment. Each batchis tested by a certified third party analyticallaboratory to confirm potency. THE ART ResVitále introduces Vinologie –harnessing the restorative nature of the vineyard toprotect youthful radiance. Rich in French heritagethe vineyard possesses the purest Resveratrol –ResVitále’s devotion to agelessness begins here. THE BENEFITS Rediscover your youthful DNAthrough the power of Resveratrol. Free of additivesand fillers our formula delivers a patent-pending‘Vine-to-Capsule’ extraction of the red winepolyphenols – preserved at their peak potency –helping you look and feel vibrant and renewed. THE PROOF A Harvard study reveals thatResveratrol may help increase longevity. Theseactive polyphenols found in red wine enhanceyouth protein production and boost gene activity. THE PURESTYOUTH ACTIVATING Youth lies dormant deep insidecells. Healthy cells thrive onnourishing proteins and energyproduction to sustain the cycleof renewal. Reawaken youthfulactivity with this restorativeage-defying formula.Resveratrol 125 mg suppliesthe nourishment needed toactivate and restore youthfulcellular activity. This Resveratrolsupports gene activationpromoting your health andlongevity.,Organic French Red Wine Polyphenol Extract; Wild natural Japanese Knotweed Extract; Quercetin
